catagory,feature,C,microF1
LR_multi3,bert-elmo-deepmoji-300-300,0.001,0.5721393034
LR_multi3,bert-elmo-emoji-300-100,0.01,0.5690913423
LR_multi3,bert-elmo-emoji-300-200,0.01,0.5726141570
LR_multi3,bert-elmo-emoji-300-300,0.001,0.5700231271
LR_multi3,bert-elmo-emoji-300-50,0.01,0.5689979112
LR_multi3,bert-elmo-glove-common-300-300,0.001,0.5791905694
LR_multi3,bert-elmo-glove-twitter-300-100,0.001,0.574586914
LR_multi3,bert-elmo-glove-twitter-300-200,0.001,0.5714691161
LR_multi3,emo2vec-bert-emoji-300-200,0.0001,0.4342680178
LR_multi3,emo2vec-bert-emoji-300-300,0.0001,0.4378021010
LR_multi3,emo2vec-bert-emoji-300-50,0.0001,0.4339249836
LR_multi3,emo2vec-bert-glove-common-300-300,0.001,0.5057889651
LR_multi3,emo2vec-bert-glove-twitter-300-100,0.001,0.4894696291
LR_multi3,emo2vec-bert-glove-twitter-300-25,0.0001,0.4533415942
LR_multi3,emo2vec-bert-glove-twitter-300-50,0.001,0.4744677669
LR_multi3,emo2vec-bert-glove-w2v-300-300,0.0001,0.5077020148
LR_multi3,emo2vec-elmo-deepmoji-300-300,0.001,0.4831005762
LR_multi3,emo2vec-elmo-emoji-300-100,0.001,0.4873687217
LR_multi3,emo2vec-bert-emoji-300-100,0.0001,0.4347507167
LR_multi3,emo2vec-bert-glove-twitter-300-200,0.0001,0.5035073921
LR_multi3,emo2vec-elmo-emoji-300-200,0.001,0.4854160203
LR_multi3,emo2vec-glove-w2v-emoji-300-50,0.001,0.57474758
LR_multi3,emo2vec-elmo-emoji-300-300,0.001,0.4874136533
LR_multi3,emo2vec-elmo-emoji-300-50,0.001,0.4842362045
LR_multi3,emo2vec-elmo-glove-common-300-300,0.001,0.5693723302
LR_multi3,emo2vec-elmo-glove-twitter-300-100,0.001,0.5485849059
LR_multi3,emo2vec-elmo-glove-twitter-300-200,0.001,0.5617902381
LR_multi3,bert-elmo-glove-twitter-300-25,0.001,0.5701201836
LR_multi3,bert-elmo-glove-twitter-300-50,0.001,0.571742682
LR_multi3,bert-elmo-glove-w2v-300-300,0.001,0.5734277323
LR_multi3,bert-glove-w2v-deepmoji-300-300,0.001,0.3809936745
LR_multi3,bert-glove-w2v-glove-common-300-300,0.1,0.3858678859
LR_multi3,emo2vec-bert-deepmoji-300-300,0.0001,0.4338946119
LR_multi3,emo2vec-bert-elmo-300-300,0.0001,0.4443513201
LR_multi3,emo2vec-elmo-glove-twitter-300-25,0.001,0.5096690756
LR_multi3,emo2vec-elmo-glove-twitter-300-50,0.001,0.5292273666
LR_multi3,emo2vec-elmo-glove-w2v-300-300,0.001,0.5617737563
LR_multi3,emo2vec-glove-w2v-deepmoji-300-300,0.001,0.568030581
LR_multi3,emo2vec-glove-w2v-emoji-300-100,0.001,0.5760183711
LR_multi3,emo2vec-glove-w2v-emoji-300-200,0.001,0.5820583752
LR_multi3,emo2vec-glove-w2v-emoji-300-300,0.01,0.588490276
LR_multi3,emo2vec-glove-w2v-glove-common-300-300,0.001,0.5769346546
LR_multi3,emo2vec-glove-w2v-glove-twitter-300-100,0.001,0.5631083755
LR_multi3,emo2vec-glove-w2v-glove-twitter-300-200,0.001,0.5658653156
LR_multi3,emo2vec-glove-w2v-glove-twitter-300-25,0.001,0.5523983855
LR_multi3,emo2vec-glove-w2v-glove-twitter-300-50,0.001,0.5539280154
